Age,Gender,Home Region,Program Main Category Code,Program Skill Level,Program Presentation Method,Program Days,Completed Degree,Level of Education,Education Speaciality,Employment Status,Y,During Ramadan
24.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Education,غير موظف,0,False
31.0,أنثى,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
25.0,ذكر,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,26,نعم,البكالوريوس,Engineering,موظف,0,False
22.0,أنثى,المنطقة الشرقية,AI and ML,متوسط,عن بعد,5,نعم,البكالوريوس,other,طالب,0,False
21.0,أنثى,منطقة مكة المكرمة,Cloud Fundamentals,متوسط,حضوري,26,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
26.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,26,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
26.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,عن بعد,19,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,أنثى,المنطقة الشرقية,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
26.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
22.0,أنثى,منطقة مكة المكرمة,Software Engineering,متوسط,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
24.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,5,لا,البكالوريوس,Education,موظف,1,False
21.0,أنثى,المنطقة الشرقية,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
34.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
42.0,ذكر,منطقة مكة المكرمة,Cybersecurity,متوسط,عن بعد,173,نعم,البكالوريوس,Computer Science and IT,موظف,1,False
23.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,12,لا,البكالوريوس,Computer Science and IT,موظف,1,False
35.0,ذكر,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,5,لا,الدبلوم,Health Sciences,موظف,1,False
39.0,ذكر,منطقة الرياض,Game Development,متوسط,حضوري,3,لا,البكالوريوس,Business and Management,موظف,1,False
24.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,47,نعم,البكالوريوس,Engineering,موظف,0,False
23.0,أنثى,منطقة الرياض,Cybersecurity,متقدم,حضوري,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,True
25.0,أنثى,منطقة الرياض,Cloud Fundamentals,متقدم,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
29.0,ذكر,منطقة مكة المكرمة,Cloud Fundamentals,مبتدئ,عن بعد,5,لا,البكالوريوس,Computer Science and IT,موظف,1,False
33.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,لا,البكالوريوس,Media and Communication,طالب,0,False
40.0,ذكر,منطقة الرياض,AI & Robotics,مبتدئ,عن بعد,5,نعم,البكالوريوس,Humanities and Social Sciences,موظف,0,False
31.0,ذكر,منطقة الرياض,Data Science,متوسط,حضوري,40,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,4,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
35.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
38.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,19,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
27.0,أنثى,منطقة الرياض,Data Science,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,54,نعم,البكالوريوس,Health Sciences,غير موظف,0,False
23.0,أنثى,منطقة الرياض,Cybersecurity,مبتدئ,عن بعد,12,لا,البكالوريوس,Humanities and Social Sciences,طالب,0,False
24.0,أنثى,منطقة مكة المكرمة,AI and ML,متوسط,حضوري,5,لا,البكالوريوس,Business and Management,موظف,1,True
22.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,5,لا,البكالوريوس,Computer Science and IT,طالب,1,True
27.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,عن بعد,12,لا,الماجستير,Art and Design,خريج,0,False
29.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,عن بعد,12,لا,الماجستير,Sciences,غير موظف,1,False
25.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,أنثى,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,True
29.0,أنثى,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف - طالب,0,False
29.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,عن بعد,54,لا,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,أنثى,منطقة الرياض,Cybersecurity,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
28.0,أنثى,منطقة الرياض,Data Science,متوسط,حضوري,54,نعم,الماجستير,Computer Science and IT,غير موظف,0,False
37.0,أنثى,منطقة حائل,Cybersecurity,مبتدئ,عن بعد,5,لا,الماجستير,Computer Science and IT,موظف,0,True
23.0,أنثى,منطقة القصيم,AI and ML,متقدم,عن بعد,12,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
29.0,ذكر,منطقة الرياض,Cloud Fundamentals,متقدم,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
26.0,أنثى,منطقة الرياض,AI & Robotics,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
33.0,أنثى,منطقة الرياض,AI and ML,مبتدئ,حضوري,5,نعم,الماجستير,other,موظف,0,False
37.0,ذكر,منطقة المدينة المنورة,Cybersecurity,مبتدئ,عن بعد,5,نعم,الدبلوم,Computer Science and IT,موظف,0,True
27.0,ذكر,المنطقة الشرقية,AI and ML,متوسط,عن بعد,12,لا,البكالوريوس,Computer Science and IT,موظف,0,False
40.0,ذكر,منطقة مكة المكرمة,Cloud Fundamentals,متقدم,حضوري,5,نعم,الدبلوم,Computer Science and IT,موظف,0,False
22.0,ذكر,منطقة مكة المكرمة,Cybersecurity,مبتدئ,حضوري,12,لا,البكالوريوس,Computer Science and IT,طالب,1,False
39.0,أنثى,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
27.0,ذكر,منطقة الرياض,AI & Robotics,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
24.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
25.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Health Sciences,خريج,0,False
23.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
33.0,ذكر,منطقة مكة المكرمة,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
25.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,لا,البكالوريوس,Computer Science and IT,غير موظف,0,False
27.0,ذكر,منطقة حائل,AI and ML,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
35.0,ذكر,منطقة الرياض,Cybersecurity,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف - طالب,0,True
28.0,أنثى,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
27.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,4,نعم,البكالوريوس,Business and Management,موظف,0,False
32.0,ذكر,منطقة الرياض,Data Science,مبتدئ,حضوري,5,نعم,الماجستير,Computer Science and IT,غير موظف,0,False
27.0,ذكر,منطقة الرياض,Cybersecurity,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
38.0,ذكر,منطقة الرياض,Cybersecurity,متقدم,حضوري,19,نعم,الماجستير,Computer Science and IT,موظف,0,False
27.0,أنثى,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
21.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,طالب,0,True
29.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
27.0,أنثى,منطقة الرياض,Cybersecurity,مبتدئ,عن بعد,19,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
22.0,أنثى,منطقة مكة المكرمة,Cloud Fundamentals,مبتدئ,عن بعد,5,لا,البكالوريوس,Computer Science and IT,طالب,0,False
28.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
29.0,أنثى,منطقة مكة المكرمة,AI and ML,متوسط,عن بعد,5,نعم,البكالوريوس,Sciences,غير موظف,0,False
31.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
22.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,26,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
26.0,ذكر,المنطقة الشرقية,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
27.0,ذكر,منطقة الرياض,Cybersecurity,متقدم,حضوري,4,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
41.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
25.0,أنثى,منطقة القصيم,Cybersecurity,مبتدئ,عن بعد,12,نعم,البكالوريوس,Business and Management,خريج,0,False
22.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,الدبلوم,Computer Science and IT,موظف - طالب,0,False
23.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
29.0,ذكر,منطقة الرياض,AI & Robotics,متقدم,حضوري,12,نعم,الماجستير,Computer Science and IT,موظف,0,False
25.0,ذكر,المنطقة الشرقية,Cloud Fundamentals,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
36.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,لا,الدبلوم,Computer Science and IT,خريج,0,False
37.0,ذكر,منطقة الرياض,Cloud Fundamentals,متقدم,حضوري,5,نعم,الماجستير,Computer Science and IT,موظف,0,False
24.0,ذكر,منطقة الرياض,Cybersecurity,متقدم,حضوري,19,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
33.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
33.0,ذكر,منطقة الجوف,Cybersecurity,مبتدئ,عن بعد,5,لا,البكالوريوس,Computer Science and IT,موظف,1,False
24.0,أنثى,منطقة مكة المكرمة,Cybersecurity,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
20.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
23.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,لا,البكالوريوس,Computer Science and IT,خريج,1,True
25.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
22.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,26,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
34.0,ذكر,منطقة الرياض,Data Science,متوسط,حضوري,47,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
30.0,ذكر,منطقة الرياض,Data Science,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
26.0,أنثى,منطقة الرياض,Cloud Fundamentals,متقدم,حضوري,12,نعم,البكالوريوس,Computer Science and IT,خريج,1,False
22.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
20.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,10,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
24.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,12,لا,البكالوريوس,Computer Science and IT,موظف,1,False
22.0,أنثى,منطقة الرياض,Cybersecurity,متوسط,حضوري,12,لا,البكالوريوس,Computer Science and IT,غير موظف,1,False
28.0,ذكر,منطقة مكة المكرمة,Cybersecurity,مبتدئ,حضوري,5,لا,البكالوريوس,Computer Science and IT,موظف,1,True
28.0,أنثى,المنطقة الشرقية,Cybersecurity,مبتدئ,عن بعد,5,نعم,البكالوريوس,Sciences,غير موظف,0,False
22.0,أنثى,منطقة مكة المكرمة,AI and ML,متوسط,عن بعد,12,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
29.0,أنثى,منطقة المدينة المنورة,Cloud Fundamentals,متوسط,حضوري,54,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
38.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,12,نعم,الماجستير,Computer Science and IT,موظف,0,False
22.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,عن بعد,12,نعم,البكالوريوس,Business and Management,موظف,0,False
40.0,ذكر,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,الماجستير,Business and Management,موظف,1,False
23.0,أنثى,منطقة الجوف,Cloud Fundamentals,متوسط,حضوري,26,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
22.0,أنثى,منطقة الرياض,Data Science,متقدم,حضوري,33,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
26.0,أنثى,منطقة الرياض,Data Science,متوسط,حضوري,96,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
30.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,12,لا,الماجستير,Computer Science and IT,موظف,1,False
26.0,أنثى,منطقة حائل,Cloud Fundamentals,متوسط,حضوري,54,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
32.0,ذكر,منطقة عسير,Cybersecurity,متقدم,حضوري,4,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
29.0,ذكر,منطقة الرياض,Data Science,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
28.0,أنثى,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,5,لا,البكالوريوس,Computer Science and IT,موظف,1,False
26.0,أنثى,منطقة الرياض,Cybersecurity,متقدم,حضوري,19,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
23.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,عن بعد,5,لا,البكالوريوس,Computer Science and IT,موظف,1,False
26.0,ذكر,منطقة الرياض,Quality Assurance,متوسط,حضوري,26,نعم,الماجستير,Computer Science and IT,خريج,0,False
23.0,ذكر,منطقة الرياض,Cybersecurity,متقدم,حضوري,40,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
24.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,True
34.0,ذكر,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
25.0,أنثى,منطقة الرياض,Data Science,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
25.0,أنثى,منطقة المدينة المنورة,Cloud Fundamentals,مبتدئ,حضوري,5,لا,الدبلوم,Computer Science and IT,خريج,1,False
25.0,أنثى,منطقة مكة المكرمة,AI and ML,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,True
22.0,أنثى,منطقة الرياض,Data Science,متوسط,حضوري,54,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
22.0,أنثى,منطقة عسير,Cloud Fundamentals,متوسط,حضوري,54,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
26.0,أنثى,منطقة الرياض,AI and ML,مبتدئ,حضوري,12,نعم,البكالوريوس,Business and Management,خريج,0,False
34.0,أنثى,منطقة الرياض,AI and ML,متقدم,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
26.0,أنثى,منطقة الرياض,AI & Robotics,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
28.0,أنثى,منطقة جازان,Cloud Fundamentals,متوسط,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,موظف,1,False
25.0,ذكر,منطقة الرياض,Data Science,متوسط,حضوري,54,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,أنثى,منطقة نجران,Cybersecurity,مبتدئ,عن بعد,19,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
19.0,أنثى,منطقة تبوك,AI & Robotics,مبتدئ,عن بعد,5,لا,البكالوريوس,Business and Management,طالب,1,False
37.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,عن بعد,5,نعم,الماجستير,Humanities and Social Sciences,غير موظف,0,False
35.0,أنثى,منطقة المدينة المنورة,Cloud Fundamentals,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
23.0,أنثى,منطقة الرياض,AI and ML,متوسط,عن بعد,54,لا,البكالوريوس,Humanities and Social Sciences,غير موظف,0,False
25.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,26,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
23.0,ذكر,منطقة نجران,Cloud Fundamentals,مبتدئ,حضوري,54,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
22.0,أنثى,منطقة الرياض,Cybersecurity,متوسط,حضوري,5,لا,البكالوريوس,Computer Science and IT,خريج,0,False
29.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,26,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
22.0,ذكر,منطقة الرياض,Game Development,متوسط,حضوري,5,لا,الدبلوم,Business and Management,غير موظف,0,False
23.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
29.0,أنثى,منطقة الرياض,Cybersecurity,متقدم,حضوري,5,نعم,البكالوريوس,Business and Management,موظف,0,False
31.0,أنثى,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
24.0,أنثى,منطقة مكة المكرمة,AI and ML,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,True
24.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
21.0,ذكر,منطقة الرياض,AI and ML,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
22.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,لا,البكالوريوس,Art and Design,طالب,1,False
45.0,أنثى,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,البكالوريوس,Sciences,غير موظف,0,False
27.0,ذكر,منطقة القصيم,Cybersecurity,مبتدئ,عن بعد,19,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,أنثى,منطقة عسير,AI and ML,متوسط,حضوري,5,لا,البكالوريوس,Computer Science and IT,موظف,0,False
24.0,أنثى,منطقة مكة المكرمة,AI and ML,متوسط,عن بعد,12,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
24.0,أنثى,المنطقة الشرقية,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
25.0,أنثى,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
25.0,ذكر,منطقة الرياض,AI and ML,متوسط,عن بعد,54,لا,البكالوريوس,Computer Science and IT,عمل حر,1,False
21.0,ذكر,منطقة مكة المكرمة,AI and ML,مبتدئ,عن بعد,5,لا,البكالوريوس,Computer Science and IT,طالب,0,False
27.0,أنثى,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
26.0,أنثى,منطقة مكة المكرمة,Cloud Fundamentals,مبتدئ,عن بعد,5,لا,البكالوريوس,Computer Science and IT,موظف,0,False
21.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف - طالب,0,False
24.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,True
29.0,ذكر,منطقة الرياض,Cloud Fundamentals,متقدم,حضوري,5,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
24.0,أنثى,منطقة الرياض,Data Science,متوسط,حضوري,54,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
23.0,ذكر,منطقة مكة المكرمة,Frontend Development,مبتدئ,حضوري,5,لا,البكالوريوس,Computer Science and IT,غير موظف,0,False
27.0,ذكر,منطقة الرياض,Data Science,مبتدئ,حضوري,12,نعم,الدبلوم,Computer Science and IT,طالب,0,True
42.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,12,لا,الماجستير,Media and Communication,موظف,1,False
24.0,ذكر,المنطقة الشرقية,AI and ML,متوسط,حضوري,5,لا,البكالوريوس,Computer Science and IT,طالب,1,False
23.0,أنثى,منطقة الرياض,Cybersecurity,متقدم,حضوري,5,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
31.0,ذكر,منطقة الرياض,Cybersecurity,متقدم,حضوري,19,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
25.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,54,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
37.0,ذكر,منطقة الرياض,Cloud Fundamentals,متقدم,حضوري,5,لا,البكالوريوس,Computer Science and IT,موظف,1,False
24.0,أنثى,منطقة عسير,Cloud Fundamentals,متوسط,عن بعد,5,لا,البكالوريوس,Computer Science and IT,غير موظف,1,False
25.0,ذكر,منطقة الرياض,Data Science,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
26.0,ذكر,منطقة الرياض,Data Science,متقدم,حضوري,33,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,59,نعم,البكالوريوس,Sciences,موظف,0,False
25.0,أنثى,منطقة الرياض,AI and ML,مبتدئ,حضوري,19,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
25.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,الدبلوم,Computer Science and IT,غير موظف,0,True
36.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,True
31.0,أنثى,منطقة الرياض,AI and ML,متوسط,عن بعد,54,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
26.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,الماجستير,Computer Science and IT,موظف,0,False
23.0,أنثى,منطقة المدينة المنورة,AI and ML,متوسط,عن بعد,5,لا,البكالوريوس,Computer Science and IT,خريج,1,False
32.0,ذكر,منطقة الرياض,Cloud Fundamentals,متقدم,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف - طالب,0,False
36.0,ذكر,المنطقة الشرقية,AI and ML,متوسط,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
33.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,عن بعد,12,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
30.0,أنثى,منطقة الرياض,Cybersecurity,متقدم,حضوري,5,لا,البكالوريوس,Computer Science and IT,غير موظف,1,False
33.0,ذكر,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
22.0,أنثى,منطقة الرياض,AI & Robotics,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
24.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,عن بعد,54,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
34.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
28.0,ذكر,المنطقة الشرقية,Cybersecurity,مبتدئ,حضوري,5,لا,البكالوريوس,Computer Science and IT,موظف,1,True
22.0,أنثى,منطقة عسير,Cybersecurity,مبتدئ,عن بعد,12,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
22.0,ذكر,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,طالب,0,True
23.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,عن بعد,19,لا,البكالوريوس,Computer Science and IT,غير موظف,0,False
22.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Business and Management,خريج,0,False
24.0,أنثى,منطقة الرياض,Cybersecurity,مبتدئ,عن بعد,19,لا,البكالوريوس,Computer Science and IT,موظف,1,False
27.0,ذكر,منطقة الرياض,Data Science,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
24.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
23.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,59,نعم,البكالوريوس,Sciences,موظف,0,False
39.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,19,نعم,البكالوريوس,Computer Science and IT,موظف,1,True
21.0,أنثى,منطقة الرياض,AI and ML,متوسط,عن بعد,12,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
22.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,لا,البكالوريوس,Art and Design,طالب,1,False
24.0,ذكر,منطقة المدينة المنورة,AI and ML,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
27.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,عن بعد,5,نعم,البكالوريوس,Education,خريج,0,False
23.0,أنثى,المنطقة الشرقية,Cloud Fundamentals,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
25.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,26,نعم,البكالوريوس,Education,موظف,0,False
